Size;Selection sort (shift, stable);Selection sort (swap, unstable);Selection sort (square root blocks);Bubble sort (classic);Bubble sort (early exit);Bubble sort (swap check);Cocktail shaker sort;Comb sort (factor 2);Comb sort (factor 1.3)
50;0.005;0.005;0.013;0.010;0.012;0.009;0.006;0.004;0.003
100;0.017;0.013;0.032;0.030;0.018;0.028;0.017;0.010;0.005
150;0.023;0.020;0.060;0.055;0.040;0.036;0.056;0.019;0.008
200;0.039;0.034;0.095;0.092;0.065;0.060;0.064;0.037;0.011
250;0.085;0.065;0.146;0.150;0.089;0.092;0.089;0.049;0.014
300;0.091;0.074;0.171;0.252;0.123;0.121;0.117;0.077;0.016
350;0.129;0.076;0.245;0.260;0.152;0.165;0.158;0.079;0.058
400;0.108;0.093;0.325;0.316;0.206;0.208;0.202;0.134;0.020
450;0.200;0.190;0.421;0.442;0.258;0.257;0.288;0.173;0.025
500;0.204;0.174;0.508;0.645;0.410;0.371;0.440;0.211;0.037
550;0.254;0.210;0.666;0.730;0.418;0.395;0.494;0.227;0.034
600;0.330;0.503;0.997;1.030;0.580;0.574;0.549;0.333;0.040
650;0.449;0.299;0.890;1.200;0.595;0.570;0.604;0.438;0.042
700;0.456;5.521;1.499;1.385;1.113;0.850;1.027;1.075;0.060
750;0.624;0.632;2.238;1.856;1.407;0.901;1.025;0.511;0.076
800;0.657;0.535;1.603;1.749;0.884;0.990;1.105;0.652;0.067
850;1.496;0.783;4.626;2.793;1.420;1.433;1.842;0.698;0.088
900;2.532;0.830;2.936;4.036;2.088;3.890;5.233;0.966;0.188
950;1.116;0.859;2.985;2.176;1.300;1.757;1.303;0.782;0.129
1000;0.794;0.670;2.091;2.984;1.418;1.358;1.415;0.852;0.100
1050;1.431;1.250;3.684;4.758;2.664;2.504;3.547;1.351;0.191
1100;1.440;1.223;3.725;4.489;2.362;2.653;2.448;1.576;0.108
1150;1.101;0.815;3.127;2.971;1.645;1.612;1.723;0.887;0.078
1200;1.339;0.926;2.753;3.978;1.802;1.947;2.183;1.226;0.093
1250;1.462;1.072;2.982;4.038;2.284;2.113;2.167;1.221;0.095
1300;1.624;1.282;4.027;4.588;2.736;3.157;2.943;1.590;0.106
1350;2.189;2.493;6.147;7.283;3.718;3.564;4.456;2.253;0.161
1400;1.386;1.198;3.743;5.245;2.462;2.735;3.735;1.602;0.103
1450;1.843;1.445;4.855;5.665;2.769;2.811;3.894;1.681;0.117
1500;1.888;1.589;4.240;6.140;3.530;3.116;3.396;1.881;0.131
1550;1.419;1.121;3.387;5.174;2.739;2.895;2.899;1.445;0.105
1600;1.704;1.397;4.507;5.810;2.873;2.980;3.136;1.930;0.136
1650;1.616;1.258;4.261;6.165;3.581;3.036;3.407;1.841;0.120
1700;1.940;1.453;4.563;6.468;3.292;3.428;3.783;2.080;0.125
1750;1.742;1.351;4.197;8.254;3.313;3.481;3.602;1.701;0.122
1800;2.020;1.573;4.697;6.755;3.605;3.574;3.974;2.204;0.132
1850;1.970;1.588;5.381;7.572;4.186;4.158;3.992;1.873;0.132
1900;2.052;1.695;5.211;7.603;3.715;4.297;4.431;2.353;0.126
1950;2.530;1.939;5.387;8.160;4.214;4.404;4.571;2.186;0.148
2000;2.382;1.977;7.440;8.930;4.377;4.773;4.551;2.386;0.135
